age,gender,occupation,daily_screen_time_hours,phone_usage_before_sleep_minutes,sleep_hours,sleep_quality_score,stress_level,caffeine_intake_cups,physical_activity_minutes,notifications_received_per_day,mental_fatigue_score,stress_category,sleep_duration_category,sleep_quality_category,phone_usage_before_sleep_category,daily_screen_time_category,sleep_deficit_hours,poor_quality_and_short_sleep,high_phone_usage_low_sleep,high_screen_high_fatigue,notification_intensity_per_hour,priority_segment
31,Female,Freelancer,7.19,14,4.07,5.96,8.34,4,98,32,7.97,high,short,moderate,low,high,2.9299999999999997,0,0,1,1.3333333333333333,high_screen_time
47,Male,Student,3.17,114,5.97,4.29,6.55,0,73,210,6.12,medium,short,poor,high,low,1.0300000000000002,1,1,0,8.75,low_sleep_quality
50,Male,Designer,2.29,94,4.31,7.21,4.86,3,12,270,6.1,medium,short,moderate,high,low,2.6900000000000004,0,1,0,11.25,general_users
32,Male,Doctor,6.66,4,8.0,7.5,5.96,1,3,62,6.3,medium,ideal,good,low,moderate,0.0,0,0,0,2.5833333333333335,general_users
24,Male,Researcher,9.13,43,8.64,4.25,10.0,1,21,136,10.0,high,long,poor,medium,high,0.0,0,0,1,5.666666666666667,high_screen_low_sleep_quality
32,Other,Freelancer,9.6,2,5.48,5.61,10.0,2,106,219,10.0,high,short,moderate,low,high,1.5199999999999996,0,0,1,9.125,high_screen_time
59,Male,Researcher,1.09,46,7.25,9.56,1.9,1,74,72,2.67,low,ideal,good,medium,low,0.0,0,0,0,3.0,general_users
55,Female,Software Engineer,8.87,29,4.44,5.31,10.0,0,36,29,9.54,high,short,moderate,low,high,2.5599999999999996,0,0,1,1.2083333333333333,high_screen_time
28,Male,Software Engineer,6.05,110,5.82,5.77,8.83,4,13,298,8.52,high,short,moderate,high,moderate,1.1799999999999997,0,1,0,12.416666666666666,general_users
46,Female,Teacher,3.14,11,6.88,7.46,5.14,4,105,45,6.19,medium,ideal,moderate,low,low,0.1200000000000001,0,0,0,1.875,general_users
48,Female,Student,6.55,14,4.52,6.72,7.87,1,9,181,9.72,high,short,moderate,low,moderate,2.4800000000000004,0,0,0,7.541666666666667,general_users
42,Male,Researcher,9.96,37,5.89,3.79,10.0,2,23,23,9.7,high,short,poor,medium,high,1.1100000000000003,1,0,1,0.9583333333333334,high_screen_low_sleep_quality
41,Female,Teacher,3.49,27,8.78,7.31,3.5,1,30,252,5.58,low,long,moderate,low,low,0.0,0,0,0,10.5,general_users
36,Male,Software Engineer,3.49,48,4.83,7.06,3.8,1,28,161,3.85,low,short,moderate,medium,low,2.17,0,0,0,6.708333333333333,general_users
19,Female,Student,7.29,86,7.1,6.02,7.57,3,56,265,7.5,high,ideal,moderate,high,high,0.0,0,0,1,11.041666666666666,high_screen_time
39,Female,Researcher,1.39,46,8.17,9.23,1.0,3,82,277,2.46,low,long,good,medium,low,0.0,0,0,0,11.541666666666666,general_users
37,Male,Designer,8.38,78,7.86,2.59,10.0,4,110,64,9.39,high,ideal,poor,high,high,0.0,0,0,1,2.6666666666666665,high_screen_low_sleep_quality
50,Female,Designer,6.87,74,7.86,6.42,9.11,2,101,69,10.0,high,ideal,moderate,high,moderate,0.0,0,0,0,2.875,general_users
25,Male,Doctor,8.57,93,4.3,5.56,9.76,4,58,279,10.0,high,short,moderate,high,high,2.7,0,1,1,11.625,high_screen_time
42,Female,Researcher,3.08,117,8.87,6.46,5.65,1,1,156,7.01,medium,long,moderate,high,low,0.0,0,0,0,6.5,general_users
26,Male,Manager,8.62,11,7.64,5.68,10.0,4,24,247,9.55,high,ideal,moderate,low,high,0.0,0,0,1,10.291666666666666,high_screen_time
51,Female,Software Engineer,5.04,53,8.77,7.17,4.88,3,21,143,5.35,medium,long,moderate,medium,moderate,0.0,0,0,0,5.958333333333333,general_users
40,Female,Designer,2.19,82,8.9,9.15,1.0,0,0,100,2.25,low,long,good,high,low,0.0,0,0,0,4.166666666666667,general_users
22,Male,Student,9.11,31,5.79,3.75,10.0,0,7,137,10.0,high,short,poor,medium,high,1.21,1,0,1,5.708333333333333,high_screen_low_sleep_quality
42,Male,Manager,7.35,0,6.72,6.39,8.98,1,115,126,9.41,high,ideal,moderate,low,high,0.28000000000000025,0,0,1,5.25,high_screen_time
25,Female,Manager,2.51,15,7.65,7.91,4.07,1,40,294,2.96,medium,ideal,good,low,low,0.0,0,0,0,12.25,general_users
33,Male,Designer,3.22,10,8.25,9.66,2.78,1,102,41,2.35,low,long,good,low,low,0.0,0,0,0,1.7083333333333333,general_users
32,Female,Teacher,3.42,94,8.85,7.17,3.68,4,65,118,2.46,low,long,moderate,high,low,0.0,0,0,0,4.916666666666667,general_users
18,Female,Teacher,9.67,96,8.87,2.73,10.0,4,99,172,10.0,high,long,poor,high,high,0.0,0,0,1,7.166666666666667,high_screen_low_sleep_quality
39,Female,Teacher,8.98,54,5.64,5.51,10.0,3,8,103,10.0,high,short,moderate,medium,high,1.3600000000000003,0,0,1,4.291666666666667,high_screen_time
20,Male,Researcher,4.12,35,7.4,7.16,6.43,4,52,72,9.29,medium,ideal,moderate,medium,moderate,0.0,0,0,0,3.0,general_users
55,Male,Manager,5.2,29,4.73,7.68,3.88,3,27,44,1.74,low,short,good,low,moderate,2.2699999999999996,0,0,0,1.8333333333333333,general_users
31,Male,Teacher,3.57,101,8.05,4.09,9.21,0,6,162,9.25,high,long,poor,high,low,0.0,0,0,0,6.75,low_sleep_quality
53,Male,Teacher,7.68,67,4.8,5.24,9.6,4,62,215,9.41,high,short,moderate,high,high,2.2,0,1,1,8.958333333333334,high_screen_time
35,Male,Manager,2.45,55,8.45,7.23,4.23,3,77,44,2.22,medium,long,moderate,medium,low,0.0,0,0,0,1.8333333333333333,general_users
58,Female,Doctor,4.05,59,8.9,9.35,3.18,1,109,232,2.73,low,long,good,medium,moderate,0.0,0,0,0,9.666666666666666,general_users
35,Male,Teacher,6.45,88,4.43,3.41,10.0,0,81,227,9.02,high,short,poor,high,moderate,2.5700000000000003,1,1,0,9.458333333333334,low_sleep_quality
20,Female,Doctor,8.9,97,6.56,4.1,10.0,3,103,250,10.0,high,ideal,poor,high,high,0.4400000000000004,0,0,1,10.416666666666666,high_screen_low_sleep_quality
27,Female,Doctor,6.72,16,5.32,6.25,6.63,3,104,234,6.48,medium,short,moderate,low,moderate,1.6799999999999997,0,0,0,9.75,general_users
56,Female,Designer,9.46,32,6.35,4.01,10.0,3,31,174,8.83,high,ideal,poor,medium,high,0.6500000000000004,0,0,1,7.25,high_screen_low_sleep_quality
18,Male,Manager,9.38,29,5.47,4.4,10.0,0,0,185,10.0,high,short,poor,low,high,1.5300000000000002,1,0,1,7.708333333333333,high_screen_low_sleep_quality
44,Female,Student,7.46,12,4.33,5.88,10.0,2,22,284,10.0,high,short,moderate,low,high,2.67,0,0,1,11.833333333333334,high_screen_time
44,Male,Teacher,3.51,11,5.97,6.46,5.21,4,103,193,4.69,medium,short,moderate,low,low,1.0300000000000002,0,0,0,8.041666666666666,general_users
28,Male,Student,7.15,31,5.02,5.72,10.0,0,10,139,10.0,high,short,moderate,medium,high,1.9800000000000004,0,0,1,5.791666666666667,high_screen_time
22,Female,Software Engineer,2.73,86,6.75,6.71,3.71,1,95,295,4.94,low,ideal,moderate,high,low,0.25,0,0,0,12.291666666666666,general_users
24,Female,Researcher,4.0,92,7.4,6.7,5.21,0,54,176,5.08,medium,ideal,moderate,high,moderate,0.0,0,0,0,7.333333333333333,general_users
36,Male,Doctor,7.82,33,6.03,5.73,8.81,1,113,295,8.6,high,ideal,moderate,medium,high,0.9699999999999998,0,0,1,12.291666666666666,high_screen_time
46,Male,Freelancer,8.66,82,5.02,4.58,8.95,0,23,272,10.0,high,short,poor,high,high,1.9800000000000004,1,1,1,11.333333333333334,high_screen_low_sleep_quality
32,Male,Software Engineer,4.75,11,4.96,5.9,7.4,1,56,203,9.5,high,short,moderate,low,moderate,2.04,0,0,0,8.458333333333334,general_users
52,Female,Doctor,5.71,3,4.01,6.94,7.11,3,68,117,8.64,high,short,moderate,low,moderate,2.99,0,0,0,4.875,general_users
54,Female,Teacher,4.48,88,7.51,6.12,8.42,2,98,226,7.7,high,ideal,moderate,high,moderate,0.0,0,0,0,9.416666666666666,general_users
29,Male,Software Engineer,5.31,25,5.27,6.87,7.26,4,61,183,6.3,high,short,moderate,low,moderate,1.7300000000000004,0,0,0,7.625,general_users
47,Male,Manager,5.61,81,8.85,5.39,9.27,2,84,215,7.68,high,long,moderate,high,moderate,0.0,0,0,0,8.958333333333334,general_users
37,Female,Designer,7.23,63,7.74,3.69,10.0,0,83,98,8.88,high,ideal,poor,high,high,0.0,0,0,1,4.083333333333333,high_screen_low_sleep_quality
54,Male,Researcher,7.75,29,5.48,4.95,10.0,4,93,182,8.27,high,short,poor,low,high,1.5199999999999996,1,0,1,7.583333333333333,high_screen_low_sleep_quality
20,Female,Software Engineer,9.78,33,4.79,4.96,10.0,2,85,147,10.0,high,short,poor,medium,high,2.21,1,0,1,6.125,high_screen_low_sleep_quality
26,Male,Researcher,4.94,32,7.12,5.05,7.72,4,73,263,6.48,high,ideal,moderate,medium,moderate,0.0,0,0,0,10.958333333333334,general_users
58,Male,Doctor,1.75,30,8.32,8.21,4.27,3,69,239,3.27,medium,long,good,medium,low,0.0,0,0,0,9.958333333333334,general_users
56,Female,Manager,7.19,55,6.92,6.68,7.96,2,76,52,6.8,high,ideal,moderate,medium,high,0.08000000000000007,0,0,0,2.1666666666666665,high_screen_time
43,Female,Doctor,5.48,61,4.05,6.36,6.22,4,57,109,5.9,medium,short,moderate,high,moderate,2.95,0,1,0,4.541666666666667,general_users
19,Male,Student,8.57,30,7.93,5.35,10.0,4,99,146,10.0,high,ideal,moderate,medium,high,0.0,0,0,1,6.083333333333333,high_screen_time
40,Male,Freelancer,2.32,76,8.82,7.16,6.35,4,11,86,6.55,medium,long,moderate,high,low,0.0,0,0,0,3.5833333333333335,general_users
40,Male,Freelancer,6.8,23,4.24,6.08,7.72,4,70,197,5.54,high,short,moderate,low,moderate,2.76,0,0,0,8.208333333333334,general_users
38,Female,Software Engineer,5.13,68,8.05,5.13,7.91,1,82,252,7.55,high,long,moderate,high,moderate,0.0,0,0,0,10.5,general_users
33,Female,Designer,4.77,50,7.59,5.83,6.52,1,108,42,5.1,medium,ideal,moderate,medium,moderate,0.0,0,0,0,1.75,general_users
26,Female,Teacher,6.08,64,5.99,4.8,9.6,1,107,166,8.32,high,short,poor,high,moderate,1.0099999999999998,1,1,0,6.916666666666667,low_sleep_quality
30,Male,Student,7.16,97,7.17,5.78,10.0,3,85,212,9.41,high,ideal,moderate,high,high,0.0,0,0,1,8.833333333333334,high_screen_time
45,Female,Software Engineer,8.66,109,4.79,2.39,10.0,3,4,270,10.0,high,short,poor,high,high,2.21,1,1,1,11.25,high_screen_low_sleep_quality
44,Male,Student,3.12,8,7.6,8.3,2.9,2,65,43,3.57,low,ideal,good,low,low,0.0,0,0,0,1.7916666666666667,general_users
34,Male,Software Engineer,3.64,7,6.91,8.3,3.49,1,74,268,4.33,low,ideal,good,low,low,0.08999999999999986,0,0,0,11.166666666666666,general_users
55,Female,Freelancer,5.94,106,4.43,3.99,8.78,2,107,249,7.75,high,short,poor,high,moderate,2.5700000000000003,1,1,0,10.375,low_sleep_quality
53,Male,Teacher,4.12,35,8.34,7.5,4.18,4,4,55,5.06,medium,long,good,medium,moderate,0.0,0,0,0,2.2916666666666665,general_users
18,Male,Teacher,6.12,92,4.64,4.33,8.37,0,43,113,7.82,high,short,poor,high,moderate,2.3600000000000003,1,1,0,4.708333333333333,low_sleep_quality
35,Male,Freelancer,2.8,98,6.19,6.93,4.13,4,4,97,4.9,medium,ideal,moderate,high,low,0.8099999999999996,0,0,0,4.041666666666667,general_users
26,Female,Researcher,3.77,68,4.66,7.61,4.47,2,71,46,4.61,medium,short,good,high,low,2.34,0,1,0,1.9166666666666667,general_users
30,Female,Designer,3.92,55,7.23,5.69,6.51,0,66,229,8.24,medium,ideal,moderate,medium,low,0.0,0,0,0,9.541666666666666,general_users
57,Male,Student,9.93,45,7.69,5.19,10.0,3,76,232,9.3,high,ideal,moderate,medium,high,0.0,0,0,1,9.666666666666666,high_screen_time
32,Female,Designer,8.69,9,8.74,5.49,9.93,0,18,184,9.8,high,long,moderate,low,high,0.0,0,0,1,7.666666666666667,high_screen_time
21,Female,Software Engineer,8.54,101,5.26,4.17,10.0,4,1,57,10.0,high,short,poor,high,high,1.7400000000000002,1,1,1,2.375,high_screen_low_sleep_quality
50,Female,Teacher,5.62,73,5.83,6.28,6.6,2,1,102,6.65,medium,short,moderate,high,moderate,1.17,0,1,0,4.25,general_users
41,Male,Teacher,5.2,10,5.93,5.94,8.17,1,109,163,7.51,high,short,moderate,low,moderate,1.0700000000000003,0,0,0,6.791666666666667,general_users
53,Male,Doctor,1.63,115,4.49,6.85,5.53,4,33,208,5.35,medium,short,moderate,high,low,2.51,0,1,0,8.666666666666666,general_users
58,Male,Doctor,2.78,7,8.04,6.89,3.82,2,99,238,5.58,low,long,moderate,low,low,0.0,0,0,0,9.916666666666666,general_users
27,Female,Freelancer,9.06,67,4.41,3.86,10.0,4,78,147,8.54,high,short,poor,high,high,2.59,1,1,1,6.125,high_screen_low_sleep_quality
53,Female,Designer,5.73,116,5.69,3.93,10.0,0,4,276,9.74,high,short,poor,high,moderate,1.3099999999999996,1,1,0,11.5,low_sleep_quality
37,Other,Student,9.89,17,4.95,4.5,10.0,3,61,177,10.0,high,short,poor,low,high,2.05,1,0,1,7.375,high_screen_low_sleep_quality
58,Male,Freelancer,6.33,83,7.32,4.95,10.0,0,96,164,10.0,high,ideal,poor,high,moderate,0.0,0,0,0,6.833333333333333,low_sleep_quality
28,Male,Software Engineer,4.4,109,8.53,5.61,7.76,1,9,160,9.34,high,long,moderate,high,moderate,0.0,0,0,0,6.666666666666667,general_users
29,Male,Designer,3.47,2,7.73,8.3,4.36,2,91,271,3.86,medium,ideal,good,low,low,0.0,0,0,0,11.291666666666666,general_users
35,Male,Teacher,9.27,107,7.87,3.82,10.0,0,1,73,10.0,high,ideal,poor,high,high,0.0,0,0,1,3.0416666666666665,high_screen_low_sleep_quality
47,Female,Teacher,4.34,14,4.39,8.28,4.02,2,49,266,5.46,medium,short,good,low,moderate,2.6100000000000003,0,0,0,11.083333333333334,general_users
54,Other,Researcher,2.32,59,7.69,6.68,4.04,4,101,45,5.15,medium,ideal,moderate,medium,low,0.0,0,0,0,1.875,general_users
37,Female,Researcher,3.5,119,4.31,4.83,7.61,0,75,193,6.09,high,short,poor,high,low,2.6900000000000004,1,1,0,8.041666666666666,low_sleep_quality
42,Female,Teacher,6.81,71,6.42,4.88,10.0,0,114,154,10.0,high,ideal,poor,high,moderate,0.5800000000000001,0,0,0,6.416666666666667,low_sleep_quality
29,Female,Software Engineer,2.2,109,7.46,8.99,3.28,1,111,35,3.33,low,ideal,good,high,low,0.0,0,0,0,1.4583333333333333,general_users
38,Male,Freelancer,1.82,54,5.27,8.67,2.22,0,5,267,1.41,low,short,good,medium,low,1.7300000000000004,0,0,0,11.125,general_users
42,Female,Designer,5.12,69,7.41,7.48,5.32,3,31,288,4.7,medium,ideal,moderate,high,moderate,0.0,0,0,0,12.0,general_users
28,Female,Software Engineer,1.75,109,8.4,5.85,4.57,2,3,177,3.82,medium,long,moderate,high,low,0.0,0,0,0,7.375,general_users
26,Male,Manager,4.54,99,8.39,4.08,10.0,4,73,144,9.08,high,long,poor,high,moderate,0.0,0,0,0,6.0,low_sleep_quality
42,Female,Researcher,3.9,83,4.96,7.97,6.08,3,22,127,7.28,medium,short,good,high,low,2.04,0,1,0,5.291666666666667,general_users
52,Female,Teacher,4.52,31,5.37,8.5,6.14,3,115,196,8.15,medium,short,good,medium,moderate,1.63,0,0,0,8.166666666666666,general_users
49,Male,Doctor,5.39,5,7.33,8.22,6.23,0,4,33,6.3,medium,ideal,good,low,moderate,0.0,0,0,0,1.375,general_users
31,Male,Designer,2.67,15,8.21,8.56,2.45,3,9,199,3.97,low,long,good,low,low,0.0,0,0,0,8.291666666666666,general_users
18,Male,Doctor,4.98,112,6.28,5.26,7.01,4,13,110,8.23,high,ideal,moderate,high,moderate,0.7199999999999998,0,0,0,4.583333333333333,general_users
34,Male,Designer,4.25,65,8.61,7.07,5.75,3,68,154,4.66,medium,long,moderate,high,moderate,0.0,0,0,0,6.416666666666667,general_users
42,Male,Freelancer,8.16,81,6.87,4.3,10.0,3,68,280,9.79,high,ideal,poor,high,high,0.1299999999999999,0,0,1,11.666666666666666,high_screen_low_sleep_quality
25,Female,Teacher,7.25,108,5.31,4.92,7.8,0,40,73,8.96,high,short,poor,high,high,1.6900000000000004,1,1,1,3.0416666666666665,high_screen_low_sleep_quality
22,Male,Doctor,8.85,89,4.1,4.36,10.0,2,57,140,10.0,high,short,poor,high,high,2.9000000000000004,1,1,1,5.833333333333333,high_screen_low_sleep_quality
22,Female,Researcher,7.02,83,8.04,5.73,9.8,2,99,194,8.86,high,long,moderate,high,high,0.0,0,0,1,8.083333333333334,high_screen_time
58,Female,Doctor,2.09,15,4.46,7.45,3.59,1,53,265,2.27,low,short,moderate,low,low,2.54,0,0,0,11.041666666666666,general_users
52,Female,Designer,5.56,84,4.39,6.58,4.51,2,45,184,5.27,medium,short,moderate,high,moderate,2.6100000000000003,0,1,0,7.666666666666667,general_users
36,Female,Manager,7.68,108,7.89,3.18,10.0,3,73,194,9.32,high,ideal,poor,high,high,0.0,0,0,1,8.083333333333334,high_screen_low_sleep_quality
40,Female,Manager,8.58,13,4.16,7.35,9.63,1,52,177,9.63,high,short,moderate,low,high,2.84,0,0,1,7.375,high_screen_time
26,Female,Doctor,2.63,61,8.21,7.26,3.03,1,33,291,2.54,low,long,moderate,high,low,0.0,0,0,0,12.125,general_users
47,Male,Doctor,3.01,17,6.99,7.21,6.33,0,77,126,5.71,medium,ideal,moderate,low,low,0.009999999999999787,0,0,0,5.25,general_users
33,Male,Freelancer,8.76,7,7.18,6.33,9.16,1,111,87,9.13,high,ideal,moderate,low,high,0.0,0,0,1,3.625,high_screen_time
50,Female,Researcher,5.37,4,8.69,7.6,5.35,0,34,230,5.89,medium,long,good,low,moderate,0.0,0,0,0,9.583333333333334,general_users
19,Female,Teacher,5.07,87,8.33,4.27,10.0,4,103,163,10.0,high,long,poor,high,moderate,0.0,0,0,0,6.791666666666667,low_sleep_quality
31,Other,Designer,5.45,40,4.38,6.09,5.58,1,87,83,4.63,medium,short,moderate,medium,moderate,2.62,0,0,0,3.4583333333333335,general_users
18,Female,Designer,2.56,110,8.26,6.56,4.95,0,91,236,4.29,medium,long,moderate,high,low,0.0,0,0,0,9.833333333333334,general_users
43,Female,Student,6.65,92,7.34,4.01,10.0,4,27,299,9.43,high,ideal,poor,high,moderate,0.0,0,0,0,12.458333333333334,low_sleep_quality
42,Male,Designer,8.27,58,5.58,4.47,10.0,4,19,176,10.0,high,short,poor,medium,high,1.42,1,0,1,7.333333333333333,high_screen_low_sleep_quality
33,Female,Researcher,8.53,8,8.27,3.85,10.0,0,68,76,9.1,high,long,poor,low,high,0.0,0,0,1,3.1666666666666665,high_screen_low_sleep_quality
32,Female,Researcher,1.27,115,4.12,7.73,3.37,1,55,285,3.77,low,short,good,high,low,2.88,0,1,0,11.875,general_users
43,Male,Teacher,7.44,41,8.19,5.12,9.05,4,55,242,6.97,high,long,moderate,medium,high,0.0,0,0,0,10.083333333333334,high_screen_time
33,Male,Doctor,1.82,17,7.1,7.8,2.72,2,68,124,1.57,low,ideal,good,low,low,0.0,0,0,0,5.166666666666667,general_users
31,Male,Freelancer,9.7,45,5.31,3.01,10.0,2,34,132,9.84,high,short,poor,medium,high,1.6900000000000004,1,0,1,5.5,high_screen_low_sleep_quality
46,Female,Student,5.34,81,4.03,5.91,7.33,1,7,230,6.53,high,short,moderate,high,moderate,2.9699999999999998,0,1,0,9.583333333333334,general_users
41,Male,Freelancer,7.98,47,6.61,5.08,10.0,4,93,217,10.0,high,ideal,moderate,medium,high,0.3899999999999997,0,0,1,9.041666666666666,high_screen_time
32,Female,Freelancer,6.6,27,6.11,6.19,7.41,0,100,162,7.18,high,ideal,moderate,low,moderate,0.8899999999999997,0,0,0,6.75,general_users
36,Male,Doctor,9.57,36,8.31,3.44,10.0,1,113,277,9.24,high,long,poor,medium,high,0.0,0,0,1,11.541666666666666,high_screen_low_sleep_quality
25,Male,Designer,9.76,73,7.94,2.54,10.0,2,93,187,9.83,high,ideal,poor,high,high,0.0,0,0,1,7.791666666666667,high_screen_low_sleep_quality
51,Other,Software Engineer,3.51,19,6.95,8.2,2.87,4,32,34,3.39,low,ideal,good,low,low,0.04999999999999982,0,0,0,1.4166666666666667,general_users
19,Male,Researcher,5.35,37,4.75,7.39,7.14,2,29,41,8.29,high,short,moderate,medium,moderate,2.25,0,0,0,1.7083333333333333,general_users
44,Male,Doctor,5.54,40,7.63,8.56,4.33,3,32,197,4.99,medium,ideal,good,medium,moderate,0.0,0,0,0,8.208333333333334,general_users
27,Male,Manager,2.6,86,6.97,8.24,1.84,3,106,234,2.39,low,ideal,good,high,low,0.03000000000000025,0,0,0,9.75,general_users
52,Female,Designer,9.14,111,4.11,5.03,10.0,0,61,119,10.0,high,short,moderate,high,high,2.8899999999999997,0,1,1,4.958333333333333,high_screen_time
40,Male,Manager,4.15,61,7.81,5.77,6.5,0,59,236,4.94,medium,ideal,moderate,high,moderate,0.0,0,0,0,9.833333333333334,general_users
25,Female,Teacher,1.79,106,8.16,7.7,3.55,0,22,299,3.67,low,long,good,high,low,0.0,0,0,0,12.458333333333334,general_users
45,Female,Manager,2.39,19,7.87,8.18,1.53,4,90,77,1.38,low,ideal,good,low,low,0.0,0,0,0,3.2083333333333335,general_users
40,Male,Designer,5.62,22,4.88,7.67,5.42,0,98,294,5.66,medium,short,good,low,moderate,2.12,0,0,0,12.25,general_users
21,Male,Student,8.94,49,6.51,4.15,10.0,2,55,88,9.57,high,ideal,poor,medium,high,0.4900000000000002,0,0,1,3.6666666666666665,high_screen_low_sleep_quality
31,Female,Manager,6.65,4,6.64,8.43,4.66,1,42,38,4.53,medium,ideal,good,low,moderate,0.3600000000000003,0,0,0,1.5833333333333333,general_users
59,Female,Researcher,2.93,59,8.67,7.36,6.1,3,10,216,6.77,medium,long,moderate,medium,low,0.0,0,0,0,9.0,general_users
46,Male,Software Engineer,3.67,90,8.63,7.52,2.82,0,19,40,3.72,low,long,good,high,low,0.0,0,0,0,1.6666666666666667,general_users
18,Female,Freelancer,9.78,72,4.31,2.59,10.0,0,70,252,9.76,high,short,poor,high,high,2.6900000000000004,1,1,1,10.5,high_screen_low_sleep_quality
21,Other,Software Engineer,1.48,42,9.0,8.81,1.49,1,69,237,1.0,low,long,good,medium,low,0.0,0,0,0,9.875,general_users
49,Male,Software Engineer,9.95,104,7.93,1.9,10.0,1,92,244,10.0,high,ideal,poor,high,high,0.0,0,0,1,10.166666666666666,high_screen_low_sleep_quality
50,Female,Manager,9.15,35,5.88,5.1,10.0,0,60,288,9.36,high,short,moderate,medium,high,1.12,0,0,1,12.0,high_screen_time
43,Male,Teacher,7.11,103,7.72,4.19,10.0,1,32,22,8.74,high,ideal,poor,high,high,0.0,0,0,1,0.9166666666666666,high_screen_low_sleep_quality
34,Female,Software Engineer,9.49,100,5.88,4.79,10.0,0,7,103,10.0,high,short,poor,high,high,1.12,1,1,1,4.291666666666667,high_screen_low_sleep_quality
56,Male,Doctor,2.37,2,8.68,10.0,4.18,3,107,93,4.57,medium,long,good,low,low,0.0,0,0,0,3.875,general_users
40,Female,Freelancer,9.48,60,5.89,3.25,10.0,2,60,278,10.0,high,short,poor,medium,high,1.1100000000000003,1,0,1,11.583333333333334,high_screen_low_sleep_quality
49,Female,Researcher,2.91,53,7.83,7.41,4.65,4,87,273,4.39,medium,ideal,moderate,medium,low,0.0,0,0,0,11.375,general_users
32,Male,Teacher,5.92,35,4.78,5.89,7.02,1,21,125,7.29,high,short,moderate,medium,moderate,2.2199999999999998,0,0,0,5.208333333333333,general_users
30,Female,Designer,5.4,111,8.26,5.53,8.71,3,104,143,9.08,high,long,moderate,high,moderate,0.0,0,0,0,5.958333333333333,general_users
19,Female,Student,5.61,44,7.1,4.89,7.42,3,55,34,7.06,high,ideal,poor,medium,moderate,0.0,0,0,0,1.4166666666666667,low_sleep_quality
36,Male,Teacher,3.41,98,8.04,4.97,7.61,1,114,123,7.21,high,long,poor,high,low,0.0,0,0,0,5.125,low_sleep_quality
41,Female,Freelancer,8.03,99,6.09,5.05,10.0,3,85,137,10.0,high,ideal,moderate,high,high,0.9100000000000001,0,0,1,5.708333333333333,high_screen_time
41,Male,Freelancer,7.68,28,5.73,4.44,10.0,0,47,285,9.5,high,short,poor,low,high,1.2699999999999996,1,0,1,11.875,high_screen_low_sleep_quality
28,Female,Student,9.59,96,6.66,2.91,10.0,4,20,82,9.43,high,ideal,poor,high,high,0.33999999999999986,0,0,1,3.4166666666666665,high_screen_low_sleep_quality
39,Male,Teacher,5.56,25,5.94,5.92,6.39,0,20,120,7.8,medium,short,moderate,low,moderate,1.0599999999999996,0,0,0,5.0,general_users
32,Female,Designer,5.93,7,6.57,5.94,7.55,1,60,219,6.16,high,ideal,moderate,low,moderate,0.4299999999999997,0,0,0,9.125,general_users
27,Male,Student,9.13,72,6.15,3.24,10.0,0,119,118,10.0,high,ideal,poor,high,high,0.8499999999999996,0,0,1,4.916666666666667,high_screen_low_sleep_quality
58,Male,Freelancer,9.27,21,4.98,4.16,10.0,1,53,54,10.0,high,short,poor,low,high,2.0199999999999996,1,0,1,2.25,high_screen_low_sleep_quality
44,Male,Teacher,6.85,68,8.88,4.95,10.0,1,58,79,8.74,high,long,poor,high,moderate,0.0,0,0,0,3.2916666666666665,low_sleep_quality
26,Female,Freelancer,8.38,43,4.08,5.81,10.0,3,5,112,9.33,high,short,moderate,medium,high,2.92,0,0,1,4.666666666666667,high_screen_time
45,Female,Student,5.55,40,8.63,7.06,6.97,1,24,293,6.54,medium,long,moderate,medium,moderate,0.0,0,0,0,12.208333333333334,general_users
18,Female,Software Engineer,4.49,35,8.14,5.48,6.8,2,31,56,8.29,medium,long,moderate,medium,moderate,0.0,0,0,0,2.3333333333333335,general_users
34,Female,Freelancer,8.78,95,6.1,5.21,10.0,2,118,75,10.0,high,ideal,moderate,high,high,0.9000000000000004,0,0,1,3.125,high_screen_time
48,Female,Software Engineer,8.0,29,5.61,5.37,10.0,3,60,51,10.0,high,short,moderate,low,high,1.3899999999999997,0,0,1,2.125,high_screen_time
27,Female,Manager,3.18,48,4.82,8.67,6.0,1,34,228,7.0,medium,short,good,medium,low,2.1799999999999997,0,0,0,9.5,general_users
54,Female,Software Engineer,1.43,107,4.67,6.74,5.11,4,61,85,4.59,medium,short,moderate,high,low,2.33,0,1,0,3.5416666666666665,general_users
46,Male,Doctor,6.09,108,6.75,7.42,8.64,4,117,52,10.0,high,ideal,moderate,high,moderate,0.25,0,0,0,2.1666666666666665,general_users
35,Female,Software Engineer,8.57,106,4.53,3.53,10.0,4,72,57,9.09,high,short,poor,high,high,2.4699999999999998,1,1,1,2.375,high_screen_low_sleep_quality
55,Female,Software Engineer,3.22,118,6.38,5.75,7.99,0,24,177,7.92,high,ideal,moderate,high,low,0.6200000000000001,0,0,0,7.375,general_users
56,Male,Designer,7.91,16,8.07,5.9,7.9,4,102,282,7.78,high,long,moderate,low,high,0.0,0,0,1,11.75,high_screen_time
23,Female,Researcher,4.73,29,7.79,8.35,5.48,1,88,296,5.6,medium,ideal,good,low,moderate,0.0,0,0,0,12.333333333333334,general_users
57,Female,Student,4.02,110,4.66,6.48,6.19,3,101,97,7.88,medium,short,moderate,high,moderate,2.34,0,1,0,4.041666666666667,general_users
